comment_start,endline,file,comment_outer_start,method,startline,comment,comment_outer_satd,body,comment_inner_satd
98,112,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,83,cummulativeProbability,102,"
     * <p>
     * For this disbution, X, this method returns P(X &lt; x).
     * </p>
     * 
     * <p>
     * The implementation of this method is based on:
     * <ul>
     * <li>
     * <a href=""http://mathworld.wolfram.com/Chi-SquaredDistribution.html"">
     * Chi-Squared Distribution</a>, equation (9).</li>
     * <li>Casella, G., & Berger, R. (1990). <i>Statistical Inference</i>.
     * Belmont, CA: Duxbury Press.</li>
     * </ul>
     * </p>
     * 
     * @param x the value at which the CDF is evaluated.
     * @return CDF for this distribution. 
     ",,"{
    double ret;
    if (x <= 0.0) {
        ret = 0.0;
    } else {
        ret = Gamma.regularizedGammaP(getAlpha(), x / getBeta());
    }
    return ret;
}",
118,123,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,114,setAlpha,118,"
     * Modify the shape parameter, alpha.
     * @param alpha the new shape parameter.
     ",,"{
    if (alpha <= 0.0) {
        throw new IllegalArgumentException(""alpha must be positive"");
    }
    this.alpha = alpha;
}",
118,131,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,125,getAlpha,129,"
     * Access the shape parameter, alpha
     * @return alpha.
     ",,"{
    return alpha;
}",
138,142,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,133,setBeta,137,"
     * Modify the scale parameter, beta.
     * @param beta the new scale parameter.
     ",,"{
    if (beta <= 0.0) {
        throw new IllegalArgumentException(""beta must be positive"");
    }
    this.beta = beta;
}",
138,150,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,144,getBeta,148,"
     * Access the scale parameter, beta
     * @return beta.
     ",,"{
    return beta;
}",
154,164,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,152,getDomainLowerBound,161,"
     * Access the domain value lower bound, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return domain value lower bound, i.e.
     *         P(X &lt; <i>lower bound</i>) &lt; <code>p</code> 
     ",,"{
    // TODO: try to improve on this estimate
    return Double.MIN_VALUE;
}","162_    // TODO: try to improve on this estimate
"
154,191,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,166,getDomainUpperBound,175,"
     * Access the domain value upper bound, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return domain value upper bound, i.e.
     *         P(X &lt; <i>upper bound</i>) &gt; <code>p</code> 
     ",,"{
    // NOTE: gamma is skewed to the left
    // NOTE: therefore, P(X < &mu;) > .5
    // TODO: try to improve on this estimate
    double ret;
    if (p < .5) {
        // use mean
        ret = getAlpha() * getBeta();
    } else {
        // use max value
        ret = Double.MAX_VALUE;
    }
    return ret;
}","178_    // TODO: try to improve on this estimate
"
181,217,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/GammaDistributionImpl.java,193,getInitialDomain,201,"
     * Access the initial domain value, based on <code>p</code>, used to
     * bracket a CDF root.  This method is used by
     * {@link #inverseCummulativeProbability(double)} to find critical values.
     * 
     * @param p the desired probability for the critical value
     * @return initial domain value
     ",,"{
    // NOTE: gamma is skewed to the left
    // NOTE: therefore, P(X < &mu;) > .5
    // TODO: try to improve on this estimate
    double ret;
    if (p < .5) {
        // use 1/2 mean
        ret = getAlpha() * getBeta() * .5;
    } else {
        // use mean
        ret = getAlpha() * getBeta();
    }
    return ret;
}","204_    // TODO: try to improve on this estimate
"
1,21,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,14,ExponentialDistributionImpl,18,"
     * Create a exponential distribution with the given mean.
     * @param degreesOfFreedom degrees of freedom.
     ",,"{
    super();
    setMean(mean);
}",
1,32,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,23,setMean,27,"
     * Modify the mean.
     * @param mean the new mean.
     ",,"{
    if (mean <= 0.0) {
        throw new IllegalArgumentException(""mean must be positive."");
    }
    this.mean = mean;
}",
1,40,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,34,getMean,38,"
     * Access the mean.
     * @return the mean.
     ",,"{
    return mean;
}",
1,67,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,42,cummulativeProbability,59,"
     * <p>
     * For this disbution, X, this method returns P(X &lt; x).
     * </p>
     * 
     * <p>
     * The implementation of this method is based on:
     * <ul>
     * <li>
     * <a href=""http://mathworld.wolfram.com/ExponentialDistribution.html"">
     * Exponential Distribution</a>, equation (1).</li>
     * </ul>
     * </p>
     * 
     * @param x the value at which the CDF is evaluated.
     * @return CDF for this distribution.
     ",,"{
    double ret;
    if (x <= 0.0) {
        ret = 0.0;
    } else {
        ret = 1.0 - Math.exp(-x / getMean());
    }
    return ret;
}",
1,88,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,69,inverseCummulativeProbability,76,"
     * For this distribution, X, this method returns the critical point x, such
     * that P(X &lt; x) = <code>p</code>.
     *
     * @param p the desired probability
     * @return x, such that P(X &lt; x) = <code>p</code>
     ",,"{
    double ret;
    if (p < 0.0 || p > 1.0) {
        ret = Double.NaN;
    } else if (p == 1.0) {
        ret = Double.POSITIVE_INFINITY;
    } else {
        ret = -getMean() * Math.log(1.0 - p);
    }
    return ret;
}",
92,98,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/distribution/ExponentialDistributionImpl.java,90,cummulativeProbability,96,"
     * For this disbution, X, this method returns P(x0 &lt; X &lt; x1).
     * @param x0 the lower bound
     * @param x1 the upper bound
     * @return the cummulative probability. 
     ",,"{
    return cummulativeProbability(x1) - cummulativeProbability(x0);
}",
98,107,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,103,RealMatrixImpl,106," 
     * Creates a matrix with no data
     ",,"{
}",
98,119,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,109,RealMatrixImpl,115,"
     * Create a new RealMatrix with the supplied row and column dimensions.
     *
     * @param rowDimension      the number of rows in the new matrix
     * @param columnDimension   the number of columns in the new matrix
     ",,"{
    data = new double[rowDimension][columnDimension];
    lu = null;
}",
118,132,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,121,RealMatrixImpl,129,"
     * Create a new RealMatrix using the <code>data</code> as the underlying
     * data array.
     * <p>
     * The input array is copied, not referenced.
     *
     * @param d data for new matrix
     ",,"{
    this.copyIn(d);
    lu = null;
}",
138,149,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,134,RealMatrixImpl,143,"
     * Create a new (column) RealMatrix using <code>v</code> as the 
     * data for the unique column of the <code>v.length x 1</code> matrix 
     * created.
     * <p>
     * The input array is copied, not referenced.
     *
     * @param v column vector holding data for new matrix
     ",,"{
    int nRows = v.length;
    data = new double[nRows][1];
    for (int row = 0; row < nRows; row++) {
        data[row][0] = v[row];
    }
}",
154,158,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,151,copy,156,"
     * Create a new RealMatrix which is a copy of this.
     *
     * @return  the cloned matrix
     ",,"{
    return new RealMatrixImpl(this.copyOut());
}",
154,182,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,160,add,167,"
     * Compute the sum of this and <code>m</code>.
     *
     * @param m    matrix to be added
     * @return     this + m
     * @exception  IllegalArgumentException if m is not the same size as this
     ",,"{
    if (this.getColumnDimension() != m.getColumnDimension() || this.getRowDimension() != m.getRowDimension()) {
        throw new IllegalArgumentException(""matrix dimension mismatch"");
    }
    int rowCount = this.getRowDimension();
    int columnCount = this.getColumnDimension();
    double[][] outData = new double[rowCount][columnCount];
    double[][] mData = m.getData();
    for (int row = 0; row < rowCount; row++) {
        for (int col = 0; col < columnCount; col++) {
            outData[row][col] = data[row][col] + mData[row][col];
        }
    }
    return new RealMatrixImpl(outData);
}",
181,206,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,184,subtract,191,"
     * Compute  this minus <code>m</code>.
     *
     * @param m    matrix to be subtracted
     * @return     this + m
     * @exception  IllegalArgumentException if m is not the same size as *this
     ",,"{
    if (this.getColumnDimension() != m.getColumnDimension() || this.getRowDimension() != m.getRowDimension()) {
        throw new IllegalArgumentException(""matrix dimension mismatch"");
    }
    int rowCount = this.getRowDimension();
    int columnCount = this.getColumnDimension();
    double[][] outData = new double[rowCount][columnCount];
    double[][] mData = m.getData();
    for (int row = 0; row < rowCount; row++) {
        for (int col = 0; col < columnCount; col++) {
            outData[row][col] = data[row][col] - mData[row][col];
        }
    }
    return new RealMatrixImpl(outData);
}",
209,216,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,208,getRank,213,"
     * Returns the rank of the matrix.
     *
     * @return the rank of this matrix
     ",,"{
    // FIXME: need to add singular value decomposition or drop this
    throw new UnsupportedOperationException(""not implemented yet"");
}","214_    // FIXME: need to add singular value decomposition or drop this
"
226,235,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,219,scalarAdd,225,"
     * Returns the result of adding d to each entry of this.
     *
     * @param d    value to be added to each entry
     * @return     d + this
     ",,"{
    int rowCount = this.getRowDimension();
    int columnCount = this.getColumnDimension();
    double[][] outData = new double[rowCount][columnCount];
    for (int row = 0; row < rowCount; row++) {
        for (int col = 0; col < columnCount; col++) {
            outData[row][col] = data[row][col] + d;
        }
    }
    return new RealMatrixImpl(outData);
}",
226,252,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,237,scalarMultiply,242,"
     * Returns the result multiplying each entry of this by <code>d</code>
     * @param d  value to multiply all entries by
     * @return d * this
     ",,"{
    int rowCount = this.getRowDimension();
    int columnCount = this.getColumnDimension();
    double[][] outData = new double[rowCount][columnCount];
    for (int row = 0; row < rowCount; row++) {
        for (int col = 0; col < columnCount; col++) {
            outData[row][col] = data[row][col] * d;
        }
    }
    return new RealMatrixImpl(outData);
}",
226,282,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,254,multiply,261,"
     * Returns the result postmultiplying this by <code>m</code>.
     * @param m    matrix to postmultiply by
     * @return     this*m
     * @throws     IllegalArgumentException
     *             if columnDimension(this) != rowDimension(m)
     ",,"{
    if (this.getColumnDimension() != m.getRowDimension()) {
        throw new IllegalArgumentException(""Matrices are not multiplication compatible."");
    }
    int nRows = this.getRowDimension();
    int nCols = this.getColumnDimension();
    double[][] mData = m.getData();
    double[][] outData = new double[nRows][nCols];
    double sum = 0;
    for (int row = 0; row < nRows; row++) {
        for (int col = 0; col < nCols; col++) {
            sum = 0;
            for (int i = 0; i < nCols; i++) {
                sum += data[row][i] * mData[i][col];
            }
            outData[row][col] = sum;
        }
    }
    return new RealMatrixImpl(outData);
}",
1,293,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,284,getData,291,"
     * Returns matrix entries as a two-dimensional array.
     * <p>
     * Makes a fresh copy of the underlying data.
     *
     * @return    2-dimensional array of entries
     ",,"{
    return copyOut();
}",
1,304,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,295,setData,301,"
     * Overwrites the underlying data for the matrix
     * with a fresh copy of <code>inData</code>.
     *
     * @param  inData 2-dimensional array of entries
     ",,"{
    copyIn(inData);
    lu = null;
}",
1,315,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,306,getDataRef,313,"
     * Returns a reference to the underlying data array.
     * <p>
     * Does not make a fresh copy of the underlying data.
     *
     * @return 2-dimensional array of entries
     ",,"{
    return data;
}",
1,328,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,317,setDataRef,325,"
     * Overwrites the underlying data for the matrix
     * with a reference to <code>inData</code>.
     * <p>
     * Does not make a fresh copy of <code>data</code>.
     *
     * @param  inData 2-dimensional array of entries
     ",,"{
    this.data = inData;
    lu = null;
}",
1,344,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,330,getNorm,334,"
     *
     * @return norm
     ",,"{
    double maxColSum = 0;
    for (int col = 0; col < this.getColumnDimension(); col++) {
        double sum = 0;
        for (int row = 0; row < this.getRowDimension(); row++) {
            sum += Math.abs(data[row][col]);
        }
        maxColSum = Math.max(maxColSum, sum);
    }
    return maxColSum;
}",
1,360,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,346,getRow,352,"
     *
     * @param row  the row to be fetched
     * @return array of entries in the row
     * @throws IllegalArgumentException if row > rowDimension or row < 1
     ",,"{
    if (row > this.getRowDimension() || row < 1) {
        throw new IllegalArgumentException(""illegal row argument"");
    }
    int ncols = this.getColumnDimension();
    double[] out = new double[ncols];
    System.arraycopy(data[row - 1], 0, out, 0, ncols);
    return out;
}",
1,378,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,362,getColumn,368,"
     * @param col column to fetch
     * @return array of entries in the column
     * @throws IllegalArgumentException if column > columnDimension or
     * column < 1
     ",,"{
    if (col > this.getColumnDimension() || col < 1) {
        throw new IllegalArgumentException(""illegal column argument"");
    }
    int nRows = this.getRowDimension();
    double[] out = new double[nRows];
    for (int row = 0; row < nRows; row++) {
        out[row] = data[row][col - 1];
    }
    return out;
}",
1,394,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,380,getEntry,386,"
     * @param row  row location of entry to be fetched
     * @param column  column location of entry to be fetched
     * @return matrix entry in row,column
     * @throws IllegalArgumentException if entry does not exist
     ",,"{
    if (row < 1 || column < 1 || row > this.getRowDimension() || column > this.getColumnDimension()) {
        throw new IllegalArgumentException(""matrix entry does not exist"");
    }
    return data[row - 1][column - 1];
}",
1,411,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,396,setEntry,402,"
     * @param row    row location of entry to be set
     * @param column    column location of entry to be set
     * @param value  value to set
     * @throws IllegalArgumentException if entry does not exist
     ",,"{
    if (row < 1 || column < 1 || row > this.getRowDimension() || column > this.getColumnDimension()) {
        throw new IllegalArgumentException(""matrix entry does not exist"");
    }
    data[row - 1][column - 1] = value;
    lu = null;
}",
1,428,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,413,transpose,417,"
     *
     * @return transpose matrix
     ",,"{
    int nRows = this.getRowDimension();
    int nCols = this.getColumnDimension();
    RealMatrixImpl out = new RealMatrixImpl(nCols, nRows);
    double[][] outData = out.getDataRef();
    for (int row = 0; row < nRows; row++) {
        for (int col = 0; col < nCols; col++) {
            outData[col][row] = data[row][col];
        }
    }
    return out;
}",
1,436,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,430,inverse,434,"
     * @return inverse matrix
     * @throws IllegalArgumentException if this is not invertible
     ",,"{
    return solve(getIdentity(this.getRowDimension()));
}",
1,455,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,438,getDeterminant,442,"
     * @return determinant
     * @throws IllegalArgumentException if matrix is not square
     ",,"{
    if (!isSquare()) {
        throw new IllegalArgumentException(""matrix is not square"");
    }
    if (isSingular()) {
        // note: this has side effect of attempting LU
        // decomp if lu == null
        return 0d;
    } else {
        double det = (double) parity;
        for (int i = 0; i < this.getRowDimension(); i++) {
            det *= lu[i][i];
        }
        return det;
    }
}",
1,462,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,457,isSquare,460,"
     * @return true if the matrix is square (rowDimension = columnDimension)
     ",,"{
    return (this.getColumnDimension() == this.getRowDimension());
}",
1,478,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,464,isSingular,467,"
     * @return true if the matrix is singular
     ",,"{
    if (lu == null) {
        try {
            LUDecompose();
            return false;
        } catch (IllegalArgumentException ex) {
            return true;
        }
    } else {
        // LU decomp must have been successfully performed
        // so the matrix is not singular
        return false;
    }
}",
1,485,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,480,getRowDimension,483,"
     * @return rowDimension
     ",,"{
    return data.length;
}",
1,492,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,487,getColumnDimension,490,"
     * @return columnDimension
     ",,"{
    return data[0].length;
}",
1,507,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,494,getTrace,498,"
     * @return trace
     * @throws IllegalArgumentException if the matrix is not square
     ",,"{
    if (!isSquare()) {
        throw new IllegalArgumentException(""matrix is not square"");
    }
    double trace = data[0][0];
    for (int i = 1; i < this.getRowDimension(); i++) {
        trace += data[i][i];
    }
    return trace;
}",
1,529,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,509,operate,514,"
     * @param v vector to operate on
     * @throws IllegalArgumentException if columnDimension != v.length
     * @return resulting vector
     ",,"{
    if (v.length != this.getColumnDimension()) {
        throw new IllegalArgumentException(""vector has wrong length"");
    }
    int nRows = this.getRowDimension();
    int nCols = this.getColumnDimension();
    double[] out = new double[v.length];
    for (int row = 0; row < nRows; row++) {
        double sum = 0;
        for (int i = 0; i < nCols; i++) {
            sum += data[row][i] * v[i];
        }
        out[row] = sum;
    }
    return out;
}",
1,545,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,531,preMultiply,536,"
     * @param v vector to premultiply by
     * @throws IllegalArgumentException if rowDimension != v.length
     * @return resulting matrix
     ",,"{
    int nCols = this.getColumnDimension();
    if (v.length != nCols) {
        throw new IllegalArgumentException(""vector has wrong length"");
    }
    // being a bit lazy here -- probably should implement directly, like
    // operate
    RealMatrix pm = new RealMatrixImpl(v).transpose();
    return pm.multiply(this);
}",
1,566,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,547,solve,553,"
     * @param b  constant vector
     * @return   vector of solution values to AX = b, where A is this
     * @throws   IllegalArgumentException if rowDimension != b.length or matrix
     *           is singular
     ",,"{
    int nRows = this.getRowDimension();
    if (b.length != nRows) {
        throw new IllegalArgumentException(""constant vector has wrong length"");
    }
    RealMatrix bMatrix = new RealMatrixImpl(b);
    double[][] solution = ((RealMatrixImpl) (solve(bMatrix))).getDataRef();
    double[] out = new double[nRows];
    for (int row = 0; row < nRows; row++) {
        out[row] = solution[row][0];
    }
    return out;
}",
1,624,111_e3ea7f7638a18820580408e7a412ec78c33d0144/src/java/org/apache/commons/math/RealMatrixImpl.java,568,solve,578,"
     * Uses LU decomposition, performing the composition if the matrix has
     * not been decomposed, or if there have been changes to the matrix since
     * the last decomposition.
     *
     * @param b the constant vector
     * @return solution matrix
     * @throws IllegalArgumentException if this is singular or dimensions
     * do not match.
     ",,"{
    if (b.getRowDimension() != this.getRowDimension()) {
        throw new IllegalArgumentException(""Incorrect row dimension"");
    }
    if (this.isSingular()) {
        // side effect: compute LU decomp
        throw new IllegalArgumentException(""Matrix is singular."");
    }
    int nCol = this.getColumnDimension();
    int nRow = this.getRowDimension();
    int nColB = b.getColumnDimension();
    int nRowB = b.getRowDimension();
    // Apply permutations to b
    double[][] bv = b.getData();
    double[][] bp = new double[nRowB][nColB];
    for (int row = 0; row < nRowB; row++) {
        for (int col = 0; col < nColB; col++) {
            bp[row][col] = bv[pivot[row]][col];
        }
    }
    bv = null;
    // Solve LY = b
    for (int col = 0; col < nCol; col++) {
        for (int i = col + 1; i < nCol; i++) {
            for (int j = 0; j < nColB; j++) {
                bp[i][j] -= bp[col][j] * lu[i][col];
            }
        }
    }
    // Solve UX = Y
    for (int col = nCol - 1; col >= 0; col--) {
        for (int j = 0; j < nColB; j++) {
            bp[col][j] /= lu[col][col];
        }
        for (int i = 0; i < col; i++) {
            for (int j = 0; j < nColB; j++) {
                bp[i][j] -= bp[col][j] * lu[i][col];
            }
        }
    }
    RealMatrixImpl outMat = new RealMatrixImpl(bp);
    return outMat;
}",
